編號,營業額,消費滿1萬贈,消費滿3萬贈,消費滿5萬贈,消費滿10萬贈,消費滿20萬贈,滿萬送千(抵用券)
1,81340000,419550,248760,140000,115200,78000,1010500
2,49000000,19600,29800,45000,42180,48256,210018
3,83440000,324750,173250,162750,270900,85000,1256000
4,58000000,28000,35010,56000,69800,56312,385000
5,87000000,138000,69500,101300,31000,86780,1550000
6,50010000,27010,30000,46000,43200,49500,225000
7,97680000,244863,177510,128100,292572,96000,904750
8,45386000,18000,26000,41000,38000,36125,195000
9,85165000,250624,190846,148625,129480,73900,1190000
10,55433000,21457,133661,225000,170000,46101,340750
11,101448000,331920,187640,103920,29850,95980,1049400
12,73383000,149085,103609,81900,73550,84000,935550
13,114056000,284106,67070,121580,264000,79361,1314500
14,71690000,112500,93000,78000,68000,69250,1015000
15,99844000,512602,62400,182784,71823,79800,1278475
16,69037000,126720,93456,47040,69850,71000,1473065
17,98290000,163858,94128,71775,82569,91580,1514425
18,69128000,99225,102570,40128,70104,65000,1397550
19,96490000,186010,135720,82795,78289,89715,1706925
20,74745000,81480,110226,52026,81900,81000,1935615
21,89658000,156305,81405,88120,26000,77890,1813350
22,71790000,93000,65575,78537,109000,58296,1779800
23,86677000,138458,60750,94102,148920,74500,2291850
24,66472000,74906,30400,60500,83129,46278,1938695
25,78966000,139203,37556,74756,236374,68000,2077350
26,60136000,82085,25506,39776,81000,59708,1477850
27,79646000,104835,38190,82772,231942,71000,2235695
28,65380000,72580,30100,54600,59800,51800,1580800
29,76358000,60825,24564,66814,151831,116768,2175250
30,68560000,118000,88120,49800,51200,78000,186500
31,60819000,49275,37521,63133,165456,57144,1835075
32,57000000,25600,16800,59850,71500,48600,450800
33,39010000,54800,42000,21000,130010,45600,867000
34,36000000,22000,18650,41500,38600,36500,388000
35,37495000,48829,20580,13160,113600,36800,1069200
36,45000000,28600,23900,48050,43800,41500,486000
37,79800000,95000,45900,69700,173500,139800,1568000
38,51000000,33900,27600,68500,54300,46990,778000
