編號,營業額,消費滿1萬贈,消費滿3萬贈,消費滿5萬贈,消費滿10萬贈,消費滿20萬贈,滿萬送千(抵用券)
6,50010000,27010,30000,46000,43200,49500,225000
7,97680000,244863,177510,128100,292572,96000,904750
11,101448000,331920,187640,103920,29850,95980,1049400
15,99844000,512602,62400,182784,71823,79800,1278475
18,69128000,99225,102570,40128,70104,65000,1397550
19,96490000,186010,135720,82795,78289,89715,1706925
22,71790000,93000,65575,78537,109000,58296,1779800
24,66472000,74906,30400,60500,83129,46278,1938695
28,65380000,72580,30100,54600,59800,51800,1580800
31,60819000,49275,37521,63133,165456,57144,1835075
38,51000000,33900,27600,68500,54300,46990,778000
